ZipCode,Population,case_count_cumulative,case_count_last_30_days,case_count_last_14_days,case_count_per_100K_cumulative,case_count_per_100K_last_30_days,case_count_per_100K_last_14_days,population_density,num_universities,num_uni_students
43548,587,29,10,None,4940.4,1703.6,None,26.8,0,0
43549,1310,40,26,10,3053.4,1984.7,763.4,48.2,0,0
43550,None,None,None,None,None,None,None,None,0,0
43551,38839,1678,736,329,4320.4,1895.0,847.1,464.2,1,20160
43552,None,None,None,None,None,None,None,None,0,0
43553,139,14,5,None,10071.9,3597.1,None,995.8,0,0
43554,2371,71,51,11,2994.5,2151.0,463.9,75.8,0,0
43555,313,8,6,None,2555.9,1916.9,None,567.6,0,0
43556,1765,50,34,17,2832.9,1926.3,963.2,65.7,0,0
43557,3324,119,47,23,3580.0,1414.0,691.9,74.2,0,0
43558,12662,468,230,96,3696.1,1816.5,758.2,156.8,0,0
43560,32275,1347,612,261,4173.5,1896.2,808.7,1542.5,1,2035
43565,502,10,7,5,1992.0,1394.4,996,2309.1,0,0
43566,7926,342,152,72,4314.9,1917.7,908.4,386.6,0,0
43567,13247,511,247,94,3857.5,1864.6,709.6,115.1,0,0
43569,2896,58,26,16,2002.8,897.8,552.5,88.4,0,0
43570,3195,113,60,23,3536.8,1877.9,719.9,66.7,0,0
43571,7526,273,141,56,3627.4,1873.5,744.1,347.7,0,0
43601,None,None,None,None,None,None,None,None,0,0
43603,None,None,None,None,None,None,None,None,0,0
43604,8920,348,104,49,3901.3,1165.9,549.3,2947.1,1,688
43605,26096,605,185,97,2318.4,708.9,371.7,3431.8,0,0
43606,25219,839,307,153,3326.9,1217.3,606.7,3691.3,1,20626
43607,21117,791,206,112,3745.8,975.5,530.4,3271.4,0,0
43608,14570,431,124,81,2958.1,851.1,555.9,4253.6,0,0
43609,21936,630,195,108,2872.0,888.9,492.3,3754.5,0,0
43610,4343,117,43,25,2694.0,990.1,575.6,3638.9,0,0
43611,18579,619,299,156,3331.7,1609.3,839.7,1903.0,0,0
43612,29686,895,347,161,3014.9,1168.9,542.3,2628.6,0,0
43613,32653,1134,460,216,3472.9,1408.8,661.5,5266.0,0,0
43614,31607,1223,493,264,3869.4,1559.8,835.3,3203.6,0,0
43615,39786,1424,529,259,3579.1,1329.6,651,2454.7,0,0
