Zip Code ,Population ,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43613,32653,1134,460,216,3472.90,1408.80,661.5
43614,31607,1223,493,264,3869.40,1559.80,835.3
43615,39786,1424,529,259,3579.10,1329.60,651
43616,20380,914,352,181,4484.80,1727.20,888.1
43617,7268,281,151,71,3866.30,2077.60,976.9
43619,7296,252,110,55,3453.90,1507.70,753.8
43620,5863,159,57,36,2711.90,972.2,614
43623,19936,757,357,154,3797.20,1790.70,772.5
43701,55595,1761,957,492,3167.60,1721.40,885
43711,116,N/A,N/A,N/A,N/A,N/A,N/A
43713,7066,251,161,64,3552.20,2278.50,905.7
43716,1874,49,30,13,2614.70,1600.90,693.7
43717,143,6,N/A,N/A,4195.80,N/A,N/A
43718,2926,67,49,11,2289.80,1674.60,375.9
43719,2689,62,31,11,2305.70,1152.80,409.1
43720,1331,33,22,N/A,2479.30,1652.90,N/A
43721,81,N/A,N/A,N/A,N/A,N/A,N/A
43722,306,N/A,N/A,N/A,N/A,N/A,N/A
43723,5185,130,61,27,2507.20,1176.50,520.7
43724,9319,500,314,89,5365.40,3369.50,955
43725,19592,521,266,153,2659.20,1357.70,780.9
43727,1163,48,30,15,4127.30,2579.50,1289.80
43728,1602,23,14,8,1435.70,873.9,499.4
43730,2287,53,32,19,2317.40,1399.20,830.8
43731,5379,144,96,61,2677.10,1784.70,1134.00
43732,1448,37,18,7,2555.20,1243.10,483.4
43734,1738,39,30,20,2244.00,1726.10,1150.70
43735,438,12,10,N/A,2739.70,2283.10,N/A
43736,35,N/A,N/A,N/A,N/A,N/A,N/A
43738,103,N/A,N/A,N/A,N/A,N/A,N/A
43739,2179,51,31,15,2340.50,1422.70,688.4
43740,277,5,N/A,N/A,1805.10,N/A,N/A
43746,1215,25,14,8,2057.60,1152.30,658.4
43747,879,19,11,6,2161.50,1251.40,682.6
43748,2752,64,35,18,2325.60,1271.80,654.1
43749,2376,44,19,8,1851.90,799.7,336.7
43750,115,N/A,N/A,N/A,N/A,N/A,N/A
43754,1618,30,10,N/A,1854.10,618,N/A
43755,1983,22,8,N/A,1109.40,403.4,N/A
43756,4834,147,104,61,3041.00,2151.40,1261.90
43758,3060,60,33,18,1960.80,1078.40,588.2
43759,57,N/A,N/A,N/A,N/A,N/A,N/A
43760,2138,29,14,10,1356.40,654.8,467.7
43761,49,N/A,N/A,N/A,N/A,N/A,N/A
43762,5997,154,75,42,2568.00,1250.60,700.4
43764,8750,305,114,56,3485.70,1302.90,640
43766,1543,29,14,7,1879.50,907.3,453.7
43767,986,42,30,12,4259.60,3042.60,1217.00
43768,497,7,6,N/A,1408.50,1207.20,N/A
43771,1895,43,30,19,2269.10,1583.10,1002.60
43772,1880,67,42,12,3563.80,2234.00,638.3
43773,3668,73,42,15,1990.20,1145.00,408.9
43777,4823,93,57,34,1928.30,1181.80,705
43778,1148,26,17,11,2264.80,1480.80,958.2
43779,855,40,21,N/A,4678.40,2456.10,N/A
43780,1697,71,26,14,4183.90,1532.10,825
43782,673,13,8,N/A,1931.60,1188.70,N/A
43783,4731,83,47,17,1754.40,993.4,359.3
43786,35,N/A,N/A,N/A,N/A,N/A,N/A
43787,3111,27,17,8,867.9,546.4,257.2
43788,754,24,18,N/A,3183.00,2387.30,N/A
43793,4901,151,45,28,3081.00,918.2,571.3
43802,1008,37,26,15,3670.60,2579.40,1488.10
43804,3786,92,19,N/A,2430.00,501.8,N/A
43805,81,N/A,N/A,N/A,N/A,N/A,N/A
43811,835,25,9,N/A,2994.00,1077.80,N/A
43812,18640,487,219,69,2612.70,1174.90,370.2
43821,4389,148,104,41,3372.10,2369.60,934.2
43822,5115,136,89,37,2658.80,1740.00,723.4
43824,4116,53,22,13,1287.70,534.5,315.8
43830,5775,229,141,54,3965.40,2441.60,935.1
